Total percentage of each badge : ,gold = 6.88601971401,silver = 28.390948216,bronze = 64.72303207
Name,% of gold,% of silver,% of bronze
muon,0.0,0.1466992665036675,0.32175032175032175
user2476665,0.0,0.04889975550122249,0.10725010725010724
josh1234,0.0,0.1466992665036675,0.4075504075504076
zz10086,0.0,0.0,0.02145002145002145
peoplesparkresident,0.4032258064516129,0.19559902200488996,0.19305019305019305
Joe_ft,0.0,0.0,0.10725010725010724
saveenr,0.20161290322580644,0.6356968215158924,0.3861003861003861
piRSquared,0.8064516129032258,0.9779951100244498,1.136851136851137
Davide Porzio,0.0,0.0,0.06435006435006435
Andy Hayden,3.8306451612903225,10.660146699266503,5.469755469755469
Georg Heiler,0.0,0.3911980440097799,0.4719004719004719
Ryan Saxe,0.6048387096774194,1.6625916870415647,1.4157014157014158
ukbaz,0.0,0.09779951100244498,0.23595023595023595
bikuser,0.0,0.0,0.19305019305019305
Timmie,0.4032258064516129,0.3422982885085574,0.1287001287001287
tomasz74,0.8064516129032258,0.8801955990220048,0.6220506220506221
Petr Petrov,0.0,0.0,0.15015015015015015
ezbentley,1.6129032258064515,1.7114914425427872,1.093951093951094
someGuy45,0.0,0.0,0.06435006435006435
lukehawk,0.0,0.09779951100244498,0.32175032175032175
John,2.217741935483871,2.34718826405868,1.6302016302016304
Jeff Saltfist,0.0,0.0,0.06435006435006435
Max Power,0.20161290322580644,0.09779951100244498,0.27885027885027885
Shankar Pandey,0.0,0.0,0.1287001287001287
szli,0.6048387096774194,0.8312958435207823,0.5577005577005577
yemu,0.6048387096774194,0.58679706601467,0.45045045045045046
leonsas,0.4032258064516129,1.17359413202934,1.0296010296010296
Zach,3.024193548387097,4.058679706601467,3.2818532818532815
Cytrix,0.0,0.0,0.06435006435006435
pafede2,0.0,0.1466992665036675,0.3003003003003003
Ross R,0.6048387096774194,0.5378973105134475,0.4075504075504076
moondra,0.0,0.0,0.15015015015015015
Feynman27,0.0,0.0,0.1716001716001716
Klausos Klausos,4.233870967741935,3.031784841075795,2.338052338052338
Maven,0.0,0.24449877750611246,0.27885027885027885
Joel Underwood,0.0,0.0,0.0858000858000858
user1504276,0.6048387096774194,0.3911980440097799,0.15015015015015015
Rohan Raj,0.0,0.0,0.0429000429000429
Marcelo Lazaroni,0.0,0.24449877750611246,0.19305019305019305
user7289,2.4193548387096775,1.7114914425427872,1.4371514371514371
jdzejdzej,0.0,0.0,0.0858000858000858
euforia,0.20161290322580644,0.24449877750611246,0.10725010725010724
George Thompson,0.4032258064516129,0.3422982885085574,0.21450021450021448
pasitrauk,0.0,0.0,0.1287001287001287
Bryan Gnipp,0.0,0.0,0.06435006435006435
Deepak M,0.0,0.0,0.0429000429000429
Raman Balyan,0.0,0.0,0.27885027885027885
user1911092,1.0080645161290323,0.4889975550122249,0.5148005148005148
zach,1.411290322580645,1.5158924205378974,1.3513513513513513
Alexander Whatley,0.0,0.09779951100244498,0.2574002574002574
Thomas Andrews,0.0,0.19559902200488996,0.4719004719004719
user1043144,0.20161290322580644,0.5378973105134475,0.5577005577005577
ppaulojr,0.20161290322580644,0.7823960880195598,0.9652509652509652
natsuki_1996,1.411290322580645,0.9290953545232273,0.7722007722007722
Nikolai,0.0,0.0,0.19305019305019305
LancelotHolmes,0.0,0.0,0.21450021450021448
TravisVOX,1.0080645161290323,0.7334963325183375,0.5362505362505363
PhE,0.4032258064516129,0.4400977995110024,0.21450021450021448
MJS,0.0,0.04889975550122249,0.21450021450021448
appleLover,0.8064516129032258,0.7334963325183375,0.5577005577005577
user3376169,0.0,0.04889975550122249,0.10725010725010724
Fourier,0.0,0.0,0.1716001716001716
cone001,0.0,0.0,0.1287001287001287
gaatjeniksaan,0.0,0.0,0.10725010725010724
sfactor,3.024193548387097,2.591687041564792,2.2951522951522954
bigbug,2.82258064516129,2.15158924205379,1.4371514371514371
Muppet,0.4032258064516129,0.5378973105134475,0.4719004719004719
User9123,0.0,0.0,0.0429000429000429
beets,0.20161290322580644,0.3422982885085574,0.19305019305019305
marillion,1.2096774193548387,1.075794621026895,0.6864006864006864
Roman,18.951612903225808,9.7799511002445,6.1990561990562
Zelazny7,1.6129032258064515,1.5158924205378974,1.1583011583011582
ingnie,0.0,0.0,0.0858000858000858
Valerio D. Ciotti,0.4032258064516129,0.293398533007335,0.36465036465036466
pottolom,0.0,0.0,0.06435006435006435
Yashvardhan Nanavati,0.0,0.0,0.0429000429000429
sudonym,0.0,0.0,0.0429000429000429
Dreamer,0.0,0.0,0.21450021450021448
ResMar,0.0,0.04889975550122249,0.2574002574002574
Frash,0.0,0.19559902200488996,0.2574002574002574
Alfonso ,0.20161290322580644,0.04889975550122249,0.1287001287001287
socnis,0.0,0.0,0.0429000429000429
